contest_name,contest_type,topic,title,problem,target,solution,resource_or_data,novelty,feasibility,impact,differentiation,total,recommendation,created_at
청년정책 아이디어 공모전,정책제안,청년 1인가구 고립 문제,간접지표 기반 고립 청년 조기 발굴 시스템,고립 청년은 복지 신청을 하지 않아 시스템이 존재를 인식하지 못함,복지 미이용 청년 1인가구 (19~39세),건강보험료 체납·주민센터 방문 기록 없음·복지서비스 미이용 등 3개 이상 간접지표 결합 시 고립위험 점수 산정 → 읍면동 복지사 아웃리치 자동 연계,"사회보장정보시스템(행복e음), 국민건강보험공단 납부 현황, 주민등록 이동 정보(행안부). 개인정보보호법 개정 또는 특례 조항 필요(불확실함)",9,5,9,8,7.75,NO,2026-04-21
청년정책 아이디어 공모전,정책제안,청년 1인가구 고립 문제,청년 1인가구 밀집지역 생활권 단위 거점공간 조성,원룸 밀집 지역에 저부담·저비용 사회적 연결 공간이 없음,이웃 관계망이 없는 청년 1인가구 (특히 비수도권),청년 1인가구 밀집 읍면동 기준 주민센터 유휴공간·마을회관을 리모델링해 24시 개방형 소규모 거점 운영. 프로그램 의무 없는 드롭인(drop-in) 방식,"청년 1인가구 읍면동 분포(통계청), 공공 유휴공간 현황(LH·행안부)",6,7,7,7,6.75,NO,2026-04-21
청년정책 아이디어 공모전,정책제안,청년 1인가구 고립 문제,청년 고립예방 통합 바우처 신설,고립 청년에게 필요한 서비스(심리·건강·커뮤니티)가 부처별로 파편화되어 한 번에 받기 어려움,고립 위험으로 판정된 청년 1인가구,기존 사회서비스 바우처 체계(보건복지부) 내 청년 고립예방 바우처 신설. 구성: 심리상담 6회권 + 건강검진 1회 + 지역 커뮤니티 프로그램 이용권 + 식사 지원(월 4회). 주민센터 복지사 추천 방식으로 발급,"기존 사회서비스 전자바우처 인프라(추가 개발 최소), 지역 사회서비스 기관 DB(사회보장정보원)",7,9,8,8,8.0,YES,2026-04-21
청년정책 아이디어 공모전,정책제안,청년 1인가구 고립 문제,청년 공공임대주택 커뮤니티 설계 기준 개선,청년 행복주택·매입임대의 원룸 구조가 고립을 구조적으로 심화,신규 청년 공공임대 입주자,LH 청년 매입임대·행복주택 설계 기준에 공용 라운지·공유주방 설치 의무화. 입주 시 이웃 연결 오리엔테이션 참여 안내 의무화(강제 아님),"LH 공공임대 설계 가이드라인(국토교통부 고시 개정 필요), 공유주거 효과 연구(불확실함: 국내 장기 추적 데이터 부족)",8,6,7,8,7.25,NO,2026-04-21
청년정책 아이디어 공모전,정책제안,청년 1인가구 고립 문제,청년 또래지원단 운영 (민관협력 모델),고립 청년은 공식 기관보다 또래의 비공식 접근에 더 열려 있음,고립 위험 청년(수혜자) + 지역 청년센터 연계 또래 청년(지원단),지역 청년센터 거점으로 훈련받은 또래 청년이 고립 위험 청년에게 주 1회 이상 비공식 접촉 제공. 지원단에게 활동비 지급(청년 사회적 일자리 연계). 지원단 교육: 정신건강 응급처치(MHFA) 기초 과정 이수 의무,"지역 청년센터 현황(청년재단, 전국 200개소 이상), 정신건강 위기개입 훈련 프로그램(국립정신건강센터)",7,7,7,8,7.25,NO,2026-04-21
,공공데이터,청년 1인가구 고립 문제,청년 1인가구 고립 위험 지수 개발 및 복지 사각지대 지도화,고립·은둔 청년은 스스로 드러나지 않아 기존 복지 시스템이 포착하지 못한다. 지역별 고립 위험도를 수치화하면 선제적 개입이 가능한 복지 공백 지도를 만들 수 있다.,,,주민등록인구통계 (연령·가구 유형별); 청년 1인가구 현황; 복지서비스 이용 현황 (청년 대상); 고독사 발생 현황; 정신건강 복지센터 이용 통계,낮음,9,,,,YES,2026-04-20
,공공데이터,청년 1인가구 고립 문제,간접 생활 지표 기반 고립 청년 조기 탐지 모델,"고립 청년은 설문·신청 기반 복지에서 누락된다. 전기·수도 사용량, 건강보험료 체납, 의료 미이용 등 간접 지표로 신청하지 않는 사람을 찾아내는 예측 모델이 필요하다.",,,건강보험료 체납 및 지역가입자 현황; 응급실 내원 현황 (정신건강 관련); 전기·가스 복지 할인 신청 데이터; 주민센터 복지 상담 이력; 청년 고용·실업 통계,높음,7,,,,NO,2026-04-20
,공공데이터,청년 1인가구 고립 문제,청년 커뮤니티 인프라 접근성과 고립도 상관관계 분석,"청년센터, 공유주방, 코워킹스페이스 등 커뮤니티 공간이 고립 완화에 실질적 효과가 있는지 데이터로 검증한 연구가 부족하다. 인프라 배치의 효과성을 분석해 투자 우선순위를 제시한다.",,,청년공간·청년센터 위치 및 이용 현황; 공공도서관 이용 통계; 지역별 사회적 자본 조사; 자살·정신건강 위기 상담 통계; 대중교통 접근성 데이터,중간,5,,,,NO,2026-04-20
,공공데이터,청년 1인가구 고립 문제,고독사 선행 지표 역추적 분석 및 예방 정책 제안,"고독사는 결과 지표이지만, 그 이전 수년간의 데이터에 예고 신호가 있다. 발생 케이스를 역추적해 공통 선행 지표를 찾으면 예방 개입 시점과 방법을 구체화할 수 있다.",,,고독사 발생 현황 (연령·지역·직업 등); 1인가구 생활실태 및 복지욕구 조사; 실업급여 수급 종료 후 이력; 정신건강 위기 개입 이력; 주거 취약 계층 현황 (고시원·쪽방 등),중간,8,,,,NO,2026-04-20
,공공데이터,청년 1인가구 고립 문제,고립 위험 청년을 위한 공유주거·거점공간 입지 최적화,"공유주거와 청년 거점 공간이 확산되고 있지만, 수요가 높은 지역에 공급이 집중되지 않는다. 고립 위험 데이터와 공간 분석을 결합해 신규 시설의 최적 입지를 도출한다.",,,공공임대주택 및 청년 매입임대 현황; 청년 1인가구 분포 (읍면동 단위); 부동산 실거래가 및 전월세 시세; 대중교통 노선 및 정류장 위치; 지역별 청년 고립·은둔 상담 건수,낮음,6,,,,NO,2026-04-20
